pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,probe.stopped,participant,session,date,expName,psychopyVersion,frameRate
-150,z,,,,,11,1,45,3,376.2198175,377.2201307,377.2201307,377.2201307,377.2201307,377.2201307,378.2206941,378.2206941,z,1,0.589360035,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,11,2,46,2,378.8381951,379.820779,379.820779,379.820779,379.820779,379.8367973,380.8198969,380.8198969,c,1,0.568906259,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,11,3,47,0,381.4029586,382.4031319,382.4031319,382.4031319,382.4031319,382.4031319,383.4038988,383.4038988,x,1,0.618677167,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,12,0,48,2,384.0361553,385.0365262,385.0365262,385.0365262,385.0365262,385.0365262,386.0370347,386.0370347,c,1,0.601606112,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,12,1,49,0,386.6528792,387.6534517,387.6534517,387.6534517,387.6534517,387.6534517,388.6527996,388.6527996,x,1,0.521292694,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,12,2,50,0,389.1857289,390.1864653,390.1864653,390.1864653,390.1864653,390.1864653,391.1871863,391.1871863,x,1,0.552236674,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,12,3,51,0,391.7527992,392.7531538,392.7531538,392.7531538,392.7531538,392.7531538,393.7541196,393.7541196,x,1,0.520026597,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,13,0,52,2,394.2870805,395.2864768,395.2864768,395.2864768,395.2864768,395.2864768,396.2867593,396.2867593,c,1,0.685114406,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,13,1,53,1,396.9859472,397.9864446,397.9864446,397.9864446,397.9864446,397.9864446,398.9863606,398.9863606,v,1,0.753292844,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,13,2,54,3,399.7526516,400.7528293,400.7528293,400.7528293,400.7528293,400.7528293,401.7525414,401.7525414,x,0,0.620799234,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,13,3,55,2,402.3867017,403.3873877,403.3873877,403.3873877,403.3873877,403.3873877,404.3877078,404.3877078,c,1,0.884525864,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,14,0,56,2,405.2853818,406.2862933,406.2862933,406.2862933,406.2862933,406.2862933,407.2866734,407.2866734,c,1,0.553033301,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,14,1,57,1,407.8525012,408.8529144,408.8529144,408.8529144,408.8529144,408.8529144,409.8534441,409.8534441,v,1,0.718030782,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,14,2,58,2,410.5861025,411.5865128,411.5865128,411.5865128,411.5865128,411.5865128,412.586821,412.586821,c,1,0.667742883,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,14,3,59,0,413.2692882,414.2694304,414.2694304,414.2694304,414.2694304,414.2694304,415.2704477,415.2704477,x,1,0.584096646,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,15,0,60,2,415.8691034,416.8693969,416.8693969,416.8693969,416.8693969,416.8693969,417.8701307,417.8701307,v,0,0.584193395,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,15,1,61,2,418.4692489,419.4693873,419.4693873,419.4693873,419.4693873,419.4693873,420.46988,420.46988,c,1,0.518903073,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,15,2,62,1,421.0023317,422.0027228,422.0027228,422.0027228,422.0027228,422.0027228,423.00284,423.00284,v,1,0.684896793,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,15,3,63,3,423.7027554,424.7026099,424.7026099,424.7026099,424.7026099,424.7026099,425.7025036,425.7025036,z,1,0.685480214,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,16,0,64,1,426.4022728,427.4023334,427.4023334,427.4023334,427.4023334,427.4023334,428.4038591,428.4038591,v,1,0.800537989,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,16,1,65,1,429.219188,430.2191648,430.2191648,430.2191648,430.2191648,430.2191648,431.2195953,431.2195953,v,1,0.635263036,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,16,2,66,0,431.8691391,432.8693784,432.8693784,432.8693784,432.8693784,432.8693784,433.8697376,433.8697376,x,1,1.018896937,434.8688134,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,16,3,67,1,434.9021091,435.9024614,435.9024614,435.9024614,435.9024614,435.9024614,436.9031577,436.9031577,v,1,0.801388496,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,17,0,68,0,437.7189954,438.7192942,438.7192942,438.7192942,438.7192942,438.7192942,439.7187928,439.7187928,x,1,0.935978248,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,17,1,69,3,440.6688215,441.6690154,441.6690154,441.6690154,441.6690154,441.6690154,442.6693723,442.6693723,z,1,0.76964787,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,17,2,70,2,443.4518756,444.452387,444.452387,444.452387,444.452387,444.452387,445.4528152,445.4528152,c,1,0.801272447,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,17,3,71,0,446.2690154,447.2691957,447.2691957,447.2691957,447.2691957,447.2691957,448.2695553,448.2695553,x,1,0.584612537,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,18,0,72,0,448.8691728,449.8691109,449.8691109,449.8691109,449.8691109,449.8691109,450.869587,450.869587,x,1,1.501547266,451.8690408,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,18,1,73,3,452.3851496,453.3857821,453.3857821,453.3857821,453.3857821,453.3857821,454.3862267,454.3862267,z,1,0.567956451,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,18,2,74,3,454.9688196,455.9690315,455.9690315,455.9690315,455.9690315,455.9690315,456.9698703,456.9698703,z,1,0.585446616,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,18,3,75,2,457.5683945,458.5689677,458.5689677,458.5689677,458.5689677,458.5689677,459.5690183,459.5690183,c,1,0.768533701,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,19,0,76,1,460.3520117,461.3523324,461.3523324,461.3523324,461.3523324,461.3523324,462.3528377,462.3528377,v,1,0.818687805,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,19,1,77,2,463.1858862,464.1859165,464.1859165,464.1859165,464.1859165,464.1859165,465.1860687,465.1860687,c,1,0.567797275,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,19,2,78,2,465.7686156,466.7685817,466.7685817,466.7685817,466.7685817,466.7685817,467.7693333,467.7693333,c,1,0.78469164,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,19,3,79,0,468.5686553,469.5686716,469.5686716,469.5686716,469.5686716,469.5686716,470.5686622,470.5686622,x,1,0.570495467,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
150,v,,,,,20,0,80,1,471.1527013,472.1524649,472.1524649,472.1524649,472.1524649,472.1524649,473.1519395,473.1519395,v,1,0.768214538,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,20,1,81,3,473.9353624,474.935599,474.935599,474.935599,474.935599,474.935599,475.9357841,475.9357841,z,1,0.885588115,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
50,c,,,,,20,2,82,2,476.8350551,477.8356257,477.8356257,477.8356257,477.8356257,477.8356257,478.8354282,478.8354282,c,1,1.569904763,479.8356628,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-150,z,,,,,20,3,83,3,480.4182119,481.4188289,481.4188289,481.4188289,481.4188289,481.4188289,482.4186601,482.4186601,z,1,0.884540364,,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
-50,x,,,,,21,0,84,0,483.3181057,484.3182061,484.3182061,484.3182061,484.3182061,484.3182061,485.3180517,485.3180517,x,1,0.986287773,486.3187153,764520,1,2022-10-06_12h52.18.054,motorsequenceexperiment3,2022.2.2,60.36327476
